variant,category,n,abstention_correct_rate,dataset_mrr,dataset_recall@10,dataset_recall@5,grounded_ok_rate,grounding_rate,latency_sec,methodology_cites_chunks_rate,paper_mrr,paper_recall@10,paper_recall@5
V0,recommendation_easy,8,,,,,0.0,0.0,4.6581,,,,
V0,_all,20,0.0,,,,0.0,0.0,4.3075,,,,
V0,recommendation_hard,2,,,,,0.0,0.0,3.5205,,,,
V0,direct_answer,5,,,,,0.0,0.0,3.9494,,,,
V0,hybrid,3,,,,,0.0,0.0,4.3757,,,,
V0,oos,2,0.0,,,,0.0,0.0,4.485,,,,
V1,recommendation_easy,8,,0.1597,0.2375,0.125,1.0,1.0,14.9831,1.0,1.0,0.799,0.6802
V1,_all,20,0.0,0.2162,0.2936,0.1795,1.0,1.0,14.7,1.0,0.9137,0.7726,0.6412
V1,recommendation_hard,2,,0.1667,0.3333,0.1667,1.0,1.0,17.628,1.0,1.0,1.0,0.6667
V1,direct_answer,5,,,,,1.0,1.0,13.2296,1.0,0.84,0.5986,0.5086
V1,hybrid,3,,0.4,0.4167,0.3333,1.0,1.0,12.934,1.0,0.7778,0.9167,0.75
V1,oos,2,0.0,,,,1.0,1.0,16.965,1.0,,,
